The script has started
Dataset({
    features: ['text', '__index_level_0__'],
    num_rows: 16006
})
{'loss': 1.1515, 'grad_norm': 0.5370010137557983, 'learning_rate': 9.999146252290264e-05, 'epoch': 0.01}
{'loss': 0.7989, 'grad_norm': 0.29683592915534973, 'learning_rate': 9.996585300715116e-05, 'epoch': 0.02}
{'loss': 0.7931, 'grad_norm': 0.24912573397159576, 'learning_rate': 9.99231801983717e-05, 'epoch': 0.04}
{'loss': 0.6458, 'grad_norm': 0.23487919569015503, 'learning_rate': 9.986345866928941e-05, 'epoch': 0.05}
{'loss': 0.805, 'grad_norm': 0.25113457441329956, 'learning_rate': 9.978670881475172e-05, 'epoch': 0.06}
{'loss': 0.758, 'grad_norm': 0.23986975848674774, 'learning_rate': 9.96929568447637e-05, 'epoch': 0.07}
{'loss': 0.7352, 'grad_norm': 0.2023696005344391, 'learning_rate': 9.958223477553714e-05, 'epoch': 0.08}
{'loss': 0.7123, 'grad_norm': 0.21185696125030518, 'learning_rate': 9.94545804185573e-05, 'epoch': 0.09}
{'loss': 0.739, 'grad_norm': 0.21200840175151825, 'learning_rate': 9.931003736767013e-05, 'epoch': 0.11}
{'loss': 0.7419, 'grad_norm': 0.20780259370803833, 'learning_rate': 9.91486549841951e-05, 'epoch': 0.12}
{'loss': 0.7243, 'grad_norm': 0.22300252318382263, 'learning_rate': 9.89704883800683e-05, 'epoch': 0.13}
{'loss': 0.7352, 'grad_norm': 0.260946661233902, 'learning_rate': 9.877559839902184e-05, 'epoch': 0.14}
{'loss': 0.734, 'grad_norm': 0.2119343876838684, 'learning_rate': 9.85640515958057e-05, 'epoch': 0.15}
{'loss': 0.7706, 'grad_norm': 0.27076613903045654, 'learning_rate': 9.833592021345937e-05, 'epoch': 0.16}
{'loss': 0.6611, 'grad_norm': 0.21924835443496704, 'learning_rate': 9.809128215864097e-05, 'epoch': 0.18}
{'loss': 0.6937, 'grad_norm': 0.23173177242279053, 'learning_rate': 9.783022097502204e-05, 'epoch': 0.19}
{'loss': 0.664, 'grad_norm': 0.2439296990633011, 'learning_rate': 9.755282581475769e-05, 'epoch': 0.2}
{'loss': 0.6856, 'grad_norm': 0.19825947284698486, 'learning_rate': 9.725919140804099e-05, 'epoch': 0.21}
{'loss': 0.7039, 'grad_norm': 0.221049964427948, 'learning_rate': 9.694941803075283e-05, 'epoch': 0.22}
{'loss': 0.6786, 'grad_norm': 0.18787933886051178, 'learning_rate': 9.662361147021779e-05, 'epoch': 0.24}
{'loss': 0.7177, 'grad_norm': 0.23238053917884827, 'learning_rate': 9.628188298907782e-05, 'epoch': 0.25}
{'loss': 0.7215, 'grad_norm': 0.2574536204338074, 'learning_rate': 9.592434928729616e-05, 'epoch': 0.26}
{'loss': 0.6447, 'grad_norm': 0.20160441100597382, 'learning_rate': 9.555113246230442e-05, 'epoch': 0.27}
{'loss': 0.6944, 'grad_norm': 0.268011212348938, 'learning_rate': 9.516235996730645e-05, 'epoch': 0.28}
{'loss': 0.7045, 'grad_norm': 0.19745750725269318, 'learning_rate': 9.475816456775313e-05, 'epoch': 0.29}
{'eval_loss': 0.6958617568016052, 'eval_runtime': 70.9564, 'eval_samples_per_second': 11.895, 'eval_steps_per_second': 1.494, 'epoch': 0.29}
{'loss': 0.7004, 'grad_norm': 0.27618274092674255, 'learning_rate': 9.43386842960031e-05, 'epoch': 0.31}
{'loss': 0.6937, 'grad_norm': 0.2182011753320694, 'learning_rate': 9.39040624041849e-05, 'epoch': 0.32}
{'loss': 0.6642, 'grad_norm': 0.27151525020599365, 'learning_rate': 9.345444731527642e-05, 'epoch': 0.33}
{'loss': 0.6857, 'grad_norm': 0.18490536510944366, 'learning_rate': 9.298999257241863e-05, 'epoch': 0.34}
{'loss': 0.7286, 'grad_norm': 0.20919260382652283, 'learning_rate': 9.251085678648072e-05, 'epoch': 0.35}
{'loss': 0.7507, 'grad_norm': 0.22539126873016357, 'learning_rate': 9.201720358189464e-05, 'epoch': 0.36}
{'loss': 0.6991, 'grad_norm': 0.21214133501052856, 'learning_rate': 9.150920154077754e-05, 'epoch': 0.38}
{'loss': 0.7697, 'grad_norm': 0.26539820432662964, 'learning_rate': 9.098702414536107e-05, 'epoch': 0.39}
{'loss': 0.7689, 'grad_norm': 0.25048020482063293, 'learning_rate': 9.045084971874738e-05, 'epoch': 0.4}
{'loss': 0.7043, 'grad_norm': 0.2035767287015915, 'learning_rate': 8.9900861364012e-05, 'epoch': 0.41}
{'loss': 0.6966, 'grad_norm': 0.22206108272075653, 'learning_rate': 8.933724690167417e-05, 'epoch': 0.42}
{'loss': 0.7195, 'grad_norm': 0.23212458193302155, 'learning_rate': 8.876019880555649e-05, 'epoch': 0.44}
{'loss': 0.7194, 'grad_norm': 0.19034957885742188, 'learning_rate': 8.816991413705516e-05, 'epoch': 0.45}
{'loss': 0.7307, 'grad_norm': 0.19605708122253418, 'learning_rate': 8.756659447784368e-05, 'epoch': 0.46}
{'loss': 0.7636, 'grad_norm': 0.23491106927394867, 'learning_rate': 8.695044586103296e-05, 'epoch': 0.47}
{'loss': 0.7173, 'grad_norm': 0.22242926061153412, 'learning_rate': 8.632167870081121e-05, 'epoch': 0.48}
{'loss': 0.7666, 'grad_norm': 0.2823384702205658, 'learning_rate': 8.568050772058762e-05, 'epoch': 0.49}
{'loss': 0.7165, 'grad_norm': 0.19607476890087128, 'learning_rate': 8.502715187966455e-05, 'epoch': 0.51}
{'loss': 0.6654, 'grad_norm': 0.23043635487556458, 'learning_rate': 8.436183429846313e-05, 'epoch': 0.52}
{'loss': 0.7034, 'grad_norm': 0.22698915004730225, 'learning_rate': 8.368478218232787e-05, 'epoch': 0.53}
{'loss': 0.6899, 'grad_norm': 0.20793190598487854, 'learning_rate': 8.299622674393614e-05, 'epoch': 0.54}
{'loss': 0.7192, 'grad_norm': 0.26890578866004944, 'learning_rate': 8.229640312433937e-05, 'epoch': 0.55}
{'loss': 0.764, 'grad_norm': 0.2485608607530594, 'learning_rate': 8.158555031266254e-05, 'epoch': 0.56}
{'loss': 0.6686, 'grad_norm': 0.2335241436958313, 'learning_rate': 8.086391106448965e-05, 'epoch': 0.58}
{'loss': 0.7209, 'grad_norm': 0.2056477963924408, 'learning_rate': 8.013173181896283e-05, 'epoch': 0.59}
{'eval_loss': 0.6851369738578796, 'eval_runtime': 70.4917, 'eval_samples_per_second': 11.973, 'eval_steps_per_second': 1.504, 'epoch': 0.59}
{'loss': 0.7266, 'grad_norm': 0.23608635365962982, 'learning_rate': 7.938926261462366e-05, 'epoch': 0.6}
{'loss': 0.6851, 'grad_norm': 0.21749097108840942, 'learning_rate': 7.863675700402526e-05, 'epoch': 0.61}
{'loss': 0.7048, 'grad_norm': 0.2319597601890564, 'learning_rate': 7.787447196714427e-05, 'epoch': 0.62}
{'loss': 0.6913, 'grad_norm': 0.20108292996883392, 'learning_rate': 7.710266782362247e-05, 'epoch': 0.64}
{'loss': 0.646, 'grad_norm': 0.2350572943687439, 'learning_rate': 7.63216081438678e-05, 'epoch': 0.65}
{'loss': 0.6881, 'grad_norm': 0.23168829083442688, 'learning_rate': 7.553155965904535e-05, 'epoch': 0.66}
{'loss': 0.6376, 'grad_norm': 0.20318767428398132, 'learning_rate': 7.473279216998895e-05, 'epoch': 0.67}
{'loss': 0.6641, 'grad_norm': 0.2684336304664612, 'learning_rate': 7.392557845506432e-05, 'epoch': 0.68}
{'loss': 0.6566, 'grad_norm': 0.22263114154338837, 'learning_rate': 7.311019417701566e-05, 'epoch': 0.69}
