The script has started
Dataset({
    features: ['text', '__index_level_0__'],
    num_rows: 16006
})
{'loss': 1.2051, 'grad_norm': 1.2260226011276245, 'learning_rate': 9.999135095944002e-05, 'epoch': 0.01}
{'loss': 0.9729, 'grad_norm': 1.0885601043701172, 'learning_rate': 9.996540682999613e-05, 'epoch': 0.02}
{'loss': 0.936, 'grad_norm': 0.9789538383483887, 'learning_rate': 9.99221765873415e-05, 'epoch': 0.04}
{'loss': 0.8889, 'grad_norm': 1.3294116258621216, 'learning_rate': 9.986167518748097e-05, 'epoch': 0.05}
{'loss': 0.8383, 'grad_norm': 0.811500608921051, 'learning_rate': 9.9783923561577e-05, 'epoch': 0.06}
{'loss': 0.8558, 'grad_norm': 0.7640745043754578, 'learning_rate': 9.968894860870827e-05, 'epoch': 0.07}
{'loss': 0.7826, 'grad_norm': 0.8340426087379456, 'learning_rate': 9.957678318656352e-05, 'epoch': 0.08}
{'loss': 0.9057, 'grad_norm': 0.8135404586791992, 'learning_rate': 9.944746610007418e-05, 'epoch': 0.09}
{'loss': 0.7864, 'grad_norm': 0.6961303353309631, 'learning_rate': 9.930104208798932e-05, 'epoch': 0.11}
{'loss': 0.8887, 'grad_norm': 0.6270473003387451, 'learning_rate': 9.913756180739768e-05, 'epoch': 0.12}
{'loss': 0.8934, 'grad_norm': 0.9126933217048645, 'learning_rate': 9.895708181620241e-05, 'epoch': 0.13}
{'loss': 0.8409, 'grad_norm': 0.9390139579772949, 'learning_rate': 9.875966455355403e-05, 'epoch': 0.14}
{'loss': 0.8459, 'grad_norm': 0.7951534390449524, 'learning_rate': 9.854537831824906e-05, 'epoch': 0.15}
{'loss': 0.8142, 'grad_norm': 0.7630338072776794, 'learning_rate': 9.831429724510107e-05, 'epoch': 0.17}
{'loss': 0.8638, 'grad_norm': 0.8459346294403076, 'learning_rate': 9.806650127929308e-05, 'epoch': 0.18}
{'loss': 0.8829, 'grad_norm': 0.649561882019043, 'learning_rate': 9.780207614871942e-05, 'epoch': 0.19}
{'loss': 0.86, 'grad_norm': 0.7507839202880859, 'learning_rate': 9.752111333432728e-05, 'epoch': 0.2}
{'loss': 0.8937, 'grad_norm': 0.8841726779937744, 'learning_rate': 9.722371003846775e-05, 'epoch': 0.21}
{'loss': 0.8359, 'grad_norm': 0.8299487829208374, 'learning_rate': 9.690996915126758e-05, 'epoch': 0.22}
{'loss': 0.9186, 'grad_norm': 0.7412981986999512, 'learning_rate': 9.657999921503311e-05, 'epoch': 0.24}
{'loss': 0.8561, 'grad_norm': 0.843569815158844, 'learning_rate': 9.623391438669883e-05, 'epoch': 0.25}
{'loss': 0.7647, 'grad_norm': 0.596942663192749, 'learning_rate': 9.587183439833344e-05, 'epoch': 0.26}
{'loss': 0.7817, 'grad_norm': 0.7489450573921204, 'learning_rate': 9.549388451571714e-05, 'epoch': 0.27}
{'loss': 0.834, 'grad_norm': 0.6711798310279846, 'learning_rate': 9.510019549500454e-05, 'epoch': 0.28}
{'loss': 0.7627, 'grad_norm': 0.7649656534194946, 'learning_rate': 9.469090353748793e-05, 'epoch': 0.3}
{'eval_loss': 0.8026648759841919, 'eval_runtime': 74.4076, 'eval_samples_per_second': 11.262, 'eval_steps_per_second': 1.411, 'epoch': 0.3}
{'loss': 0.7985, 'grad_norm': 0.7399727702140808, 'learning_rate': 9.426615024247698e-05, 'epoch': 0.31}
{'loss': 0.8273, 'grad_norm': 0.6621334552764893, 'learning_rate': 9.382608255831075e-05, 'epoch': 0.32}
{'loss': 0.8046, 'grad_norm': 0.6280637383460999, 'learning_rate': 9.337085273151924e-05, 'epoch': 0.33}
{'loss': 0.8046, 'grad_norm': 0.6207943558692932, 'learning_rate': 9.290061825415185e-05, 'epoch': 0.34}
{'loss': 0.86, 'grad_norm': 0.673464834690094, 'learning_rate': 9.241554180929131e-05, 'epoch': 0.36}
{'loss': 0.8137, 'grad_norm': 0.8091105222702026, 'learning_rate': 9.191579121477148e-05, 'epoch': 0.37}
{'loss': 0.858, 'grad_norm': 0.7477458119392395, 'learning_rate': 9.14015393651188e-05, 'epoch': 0.38}
{'loss': 0.8251, 'grad_norm': 0.6725465655326843, 'learning_rate': 9.087296417173752e-05, 'epoch': 0.39}
{'loss': 0.83, 'grad_norm': 0.9039843082427979, 'learning_rate': 9.03302485013591e-05, 'epoch': 0.4}
{'loss': 0.8875, 'grad_norm': 0.6853130459785461, 'learning_rate': 8.977358011277736e-05, 'epoch': 0.41}
{'loss': 0.7485, 'grad_norm': 0.6997660398483276, 'learning_rate': 8.920315159189116e-05, 'epoch': 0.43}
