body,label
Malina de la produse textile .Excelenta atitudine .raspundea la mai multe persoane .Corect.Util si Profesional.BRAVO,Pozitiv
Din perspectiva unui iubitor al odihnei in hamac nu pot decat sa apreciez acest produs cu un raport pret calitate excelent/imbatabil.Cu un mic efort financiar suplimentar poate fi transformat in hamacul de vis. Recomand achizitia a doua carabiniere Simond Rocky si o cordelina de 4 sau 5 mm pentru inlocuirea sistemului de ancorare original.,Pozitiv
"Aspectul general foarte plăcut, ce lasă impresia ca magazinul Decathlon este locul în care găsești articole sportive din orice domeniu, cu o primire caldă, cu personal amabil și bine documentat.",Pozitiv
"Buna ziua,dupa cum am redat mai sus sint tare multumita de magazinul dvs,dar eu sint o mamica plinuta si nu mereu gasesc marimi mari si mai ales nu la toate produsele.multumesc",Pozitiv
Personal foarte slab pregatit. Nu au putut sa dea sfaturi tehnice. Nasol,Negativ
"Scanarea cosului nu functiona si obliga casierul sa lucreze de 2 ori, deci rezulta un timp de asteptare mai mare la casa. Sistemul de a comunica prin telefon la o distanta de 5 metri  era inutil. Produse putine la ramura rugby .  provin dintr-un oras unde inca nu exista magazin Decathlon si imi comand multe produse online de la un lant englezesc .  Incercati sa mariti vanzarile online printr-o politica corespunzatoare si foarte deschisa.",Pozitiv
Notele sunt pt magazinul din iasi care l-am vizitat azi si am plecat dezamagit de atmosfera de acolo. In sudul Moldovei cand faceti unul? Ati facut doua apropiate unul de altul si ati lasat o mare zona neacoperita....,Negativ
"Magazin spatios, gama variata de produse si ce ma interesa cel mai mult... kids friendly :)",Pozitiv
Folosit ocazional IN CELE 3 LUNI DE LA CUMPARARE ESTE FOARTE UZATA TALPA.IN REST USORI SI ADECVATI LA DRUMETII.SE POATE FACE CEVA?,Negativ
"E trainica și rezistența, la prețul ei e foarte buna...finisajele putea fi realizate mai atent puțin.",Pozitiv
Prea lata partea din fata pentru cursiera. Aderenta pe material e prea mare și forța de frecare e prea mare. Devine extrem de inconfortabila după primii 10km. Nu o recomand sub nicio forma pentru cursiera,Negativ
MULTE PRODUSE FARA PRET ! Am intrebat angajatul de pret si la casa era alt pret MAI MARE !,Negativ
Pentru copii la sportul fotbal foarte putine produse si ma refer la haine(tricouri si pantaloni),Pozitiv
"Eu am fost cam cu 3 in luni in urma la Decathlon si acum imi trimiteti chestionar de satisfactie? Puteam sa si uit ce-am cumparat :) M-a dezamagit si varietatea mica de produse (eu am cautat incaltaminte) dar mai ales faptul ca la destule produse nu se gaseau toate numerele (in mod special 37 pentru mine). Refaceti stocurile in functie de vanzari, nu la termene fixe si produse standard",Negativ
"Daca si personalul ar fi saritor, usor accesibil si cu cunostiintele necesare ar insemna ceva",Negativ
"La produsele isostar nu averi diversitate, iar preturile sunt cu 20-30% mai ridicate fata de alte magazine de profil",Pozitiv
"Bicicleta a fost folosita numai pe asfalt. Am parcurs in 2 luni aproximativ 1000 km cu ea, iar discul de frana dupa spate a inceput sa frece. Am dus-o la magazinul din Ploiesti, de unde am si achizitionat-o, insa spre surprinderea mea baietii de la atelier, dupa ce au schimbat discul de frana cu unul de pentru frane hidraulice, tot freca, au zis sa o las la atelier pentru o regla, iar dupa 4 zile m-au sunat sa vin sa o iau, am iesit afara am dat o tura cu ea,tot freca, am intrat inapoi si le-am spus ca e la fel, au mai slabit curs franei,si tot asa reglaje peste reglaje, ca sa imi spuna dupa multe incercari, ca nu stie ce sa ii mai faca...",Negativ
"O experienta placuta, cu exceptia copiilor care alergau prin magazin si intrau in cabinele de proba. Nu era nimeni care sa-i supravegheze. 4 persoane """"testau"""" masa de ping-pong si blocau 2 culoare de acces, iar marfa expusa de-o parte si de alta a mesei era inaccesibila din aceasta cauza.",Negativ
Mare atentie la casele de marcat.Am avut produse pe bon care au fost scanate de la alte case.Schimbati sau verificati sistemul de scanare.,Pozitiv
A trecut cam mult timp pana cand am primit coletul.,Negativ
"In ultima vreme magazinul mi se pare dezorganizat, amenajarea produselor la schimbarea sezoanelor se face greu, zonele nu sunt definite  sau semnalizate bine.Gasesc sosete de alergare in 2-3 locuri, trebuie sa strabat tot magazinul pentru asta.Varietatea produselor este scazuta; am gasit 3 tipuri de pantaloni de trekking de dama si doar de vara. Colantii termici erau pe terminate, in conditiile in care pantalonii erau doar pt vara.Nu exista suprapantaloni de dama.",Negativ
"Un produs f bun,m-a ajutat la refacerea gleznei într-un timp scurt.",Pozitiv
O singura recomandare: colectiile noi sa fie prezentate cat mai curand posibil.,Pozitiv
Nu am găsit centura alba de Karate....nici dupa a treia vizita în 3 luni!,Negativ
"Nu ma pricep, dar faptul ca va intereseaza opinia unui cumparator e un pas inainte.",Negativ
Ar trebui sa fiti mai atenti la copiii pt ca te cam lovesc cu produsele sportive.,Pozitiv
"am cumparat o pereche de cizmel anul trecut si nu am fost multumita , deoarece inca de la prima zapada m-am udat la picioare.sunt tentata sa cumpar si anul acesta, dar am teama sa nu am aceeasi problema la acest model https://www.decathlon.ro/p/8370475_cizme-drumetie-pe-zapada-sh500-calduroase-impermeabile-roz-copii.html#/44-274-36",Negativ
0  0 0 0.este o gluma sinistra comanda on line.nici nu stiau ce produse au in stoc.,Negativ
Copilul a fost dezamăgit pentru ca dorea sa încerce o trotineta de nu sa putut fiind toate legate,Pozitiv
"Sa se acorde atenție copiilor și tinerilor care folosesc biciclete și trotinete in magazin, întrucât ieti, în 20 de minute, am văzut două accidente, datorită vitezei foarte mari cu care  circulă printre rafturi. Chiar eu și soția ne-am ferit de mai multe ori, să evităm un astfel de impact, ceea ce ne-a făcut să nu ne simțim în siguranță.",Negativ
"Port mărimea 41, la pantofi sport îmi găsesc cu greu mărimea",Pozitiv
Detin acest produs de aproape un an. Nu l-am utilizat foarte frecvent si deja materialul interior s-a tocit.,Negativ
"Un pic daca s-ar mai lucra la amabilitatea unor angajați,dar în rest toții ok",Negativ
"Cred ca este a 3-a comanda online pe care o fac fara ca produsele sa fie livrate sau sa fiu anuntat sa le ridic din magazin.La un moment dat am facut o comanda cu livrare acasa, am plasat comanda, totul parea in ordine, nu am primit nici o atentionare in legatura cu produsele, nici o informare cu privire la livrare, pur si simplu comanda a fost ignorata.Alte doua comenzi cu pick up in store, acelasi lucru. Daca nu se poate face comanda, daca nu sunt produse in stock sau orice alt motiv pentru care produsele dorite nu pot ajunge la mine ma astept sa fiu informat de acest lucru.Am mai facut comenzi si produsele au fost ok, asteptarile indeplinite insa nu inteleg cum sunt procesate acestea, cateodata sunt pur si simplu ignorate.",Negativ
"Dupa un an de utilizare  a bicicletei {circa 2500 de km}  cand eram la vreo 50 km de casa pur si simplu s-a rupt  schimbatorul {SHIMANO !!!}, mi-a intrat la roata si mi-a rupt doua spite !!!!!  Scimbatorul praf  !!! Vino perpedes 50 km !!!",Negativ
"Bine și s-ar putea și mai bine. Aici fac referire la adresa angajaților, dar posibil nici salariile nu sunt într-atât de atractive încât ei să fie foarte dedicați și tot timpul bine-dispuși. Dar per ansamblu, e un magazin foarte ok, care dă clasă multora.",Pozitiv
"Magazin """"destept"""", organizat, fluid! Personal amabil, vesel si saritor, atmosfera tinereasca si foarte placuta! Bravo, bravo!",Pozitiv
"Organizarea produselor la raft este slaba, Explicațiile date sunt vagi și fără o baza reala!",Negativ
"o aranjare a produselor mai logica,mai clara,de ex gasesti incaltaminte in tot magazinul,pai unde gasesc eu tipul ce-l vreau?!",Negativ
"Produsul nu era disponibil, angajatii erau in curs de a reinnoi stocul de la raft",Negativ
"Deosebit de usoare si comode, pana sa ma obisnuiesc cu ele tot aveam senzatia ca urmeaza sa pice din urechi, asa usoare sunt. Le-am purtat la mai multe sesiuni de alergare (aprox 1h/sesiune), nu au cazut din urechi. Pe parte de conectivitate, usor de conectat. Le folosesc de 2 saptamini si nu am pierdut legatura cu telefonul (il port in buzunarul pantalonului).Calitatea sunetului este decenta.",Pozitiv
"Lejeri, se simt comozi la purtare, dar...aderență ZERO pe suprafață umedă : asfalt, piatra cubică, gresie. Deci utilizabili în oraș, doar pe vreme uscată, total NErecomandați pentru munte/natură !!!",Negativ
"Am ridicat doua comenzi online si am achizitionat doua produse din magazin, totul a fost OK.",Pozitiv
"Ar fi foarte placut sa nu te impiedici la fiecare pas de copii care se plimba cu biciclete, role, trotinete...erc. Ar trebui aceste produse sa stea in departamentul respectiv ca sa nu umblii prin magazin si sa te rogi de un copil sa te lase sa te uiti mai indeaproape la o trotineta. Cele care erau la raft erau prinse si nu se puteau da jos.",Negativ
Dacă ai nevoie de anumite informații nu găsești pe nimeni.,Negativ
"Sunt multumit de produsele si serviciile Decathlon, voi reveni cu placere.",Pozitiv
La raion inscriptionari pe tricouri nu era nimeni.As fii vrut sa fac o comanda si am renuntat.Nu m-a servit nimeni.,Negativ
O zonă special amenajată de probat bici trici role etc.este totuşi magazin nu loc de joacă.,Pozitiv
Nu am găsit ce căutam deși pe site era trecut pe stoc.Greu sau imposibil de găsit prețul și informațiile la anumite produse.,Negativ
Este un produs cu un raport preț/calitate excelent.Pentru plimbări in aer liber (minim 3 ore pe zi) se comporta excelent timp de un sezon. Se întrețin ușor și sunt rezistenți la folosire pe orice teren.,Pozitiv
